"stid"|"schema_name"|"function_name"|"parameter_name"|"parameter_description"|"reporting_level"|"source"|"rest"|"xls_template"|"progress_code"|"xls_column_name_lv_1"|"xls_column_name_lv_2"
201|"administrative_units"|"get_country_all_inds"|"area_prot_km2"|"Total area protected in km2."|"C"|"dopa"|True|True|3|"CONSERVATION"|"Total Protected Area (km2)"
201|"administrative_units"|"get_country_all_inds"|"area_prot_mar_km2"|"Total area protected in marine part of the country in km2."|"C"|"dopa"|True|True|3|"CONSERVATION"|"Protected Marine Area (km2)"
201|"administrative_units"|"get_country_all_inds"|"area_prot_mar_perc"|"Area protected in marine part of the country in km2 as a percentage of total marine area (EEZ) of the country."|"C"|"dopa"|True|True|3|"CONSERVATION"|"Protected Marine Area (%)"
201|"administrative_units"|"get_country_all_inds"|"area_prot_perc"|"Total area protected as a percentage of the total area."|"C"|"dopa"|True|True|3|"CONSERVATION"|"Total Protected Area (%)"
201|"administrative_units"|"get_country_all_inds"|"area_prot_terr_km2"|"Total area protected in terrestrial land of the country in km2."|"C"|"dopa"|True|True|3|"CONSERVATION"|"Protected Terrestrial Area (km2)"
201|"administrative_units"|"get_country_all_inds"|"area_prot_terr_perc"|"Area protected in terrestrial land of the country in km2 as a percentage of total terrestrial area of the country."|"C"|"dopa"|True|True|3|"CONSERVATION"|"Protected Terrestrial Area (%)"
201|"administrative_units"|"get_region_all_inds"|"area_prot_km2"|"Total area protected in km2."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
201|"administrative_units"|"get_region_all_inds"|"area_prot_mar_km2"|"Total area protected in marine part of the country in km2."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
201|"administrative_units"|"get_region_all_inds"|"area_prot_mar_perc"|"Area protected in marine part of the country in km2 as a percentage of total marine area (EEZ) of the country."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
201|"administrative_units"|"get_region_all_inds"|"area_prot_perc"|"Total area protected as a percentage of the total area."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
201|"administrative_units"|"get_region_all_inds"|"area_prot_terr_km2"|"Total area protected in terrestrial land of the country in km2."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
201|"administrative_units"|"get_region_all_inds"|"area_prot_terr_perc"|"Area protected in terrestrial land of the country in km2 as a percentage of total terrestrial area of the country."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
201|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"area_prot_km2"|"Total area protected in km2."|"E"|"dopa"|True|True|3|"CONSERVATION"|"Total Protected Area (km2)"
201|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"area_prot_perc"|"Total area protected as a percentage of the total area."|"E"|"dopa"|True|True|3|"CONSERVATION"|"Total Protected Area (%)"
202|"administrative_units"|"get_country_all_inds"|"protconn"|"Percentage of an area covered by protected connected lands."|"CL"|"dopa"|True|True|3|"CONSERVATION"|"Protconn"
202|"administrative_units"|"get_region_all_inds"|"protconn"|"Percentage of an area covered by protected connected lands."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
202|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"protconn"|"Percentage of an area covered by protected connected lands."|"E"|"dopa"|True|True|3|"CONSERVATION"|"protconn"
203|"administrative_units"|"get_country_all_inds"|"kba_avg_prot_perc"|"Average protection percentage."|"C"|"dopa"|True|True|3|"CONSERVATION"|"Average KBA protection (%)"
203|"administrative_units"|"get_country_all_inds"|"kba_n_fully_prot"|"Number of KBAs fully under coverage of Protected Areas."|"C"|"dopa"|True|True|3|"CONSERVATION"|"Number of KBAs fully protected"
203|"administrative_units"|"get_country_all_inds"|"kba_n_not_protected"|"Number of KBAs not cvered by Protected Areas."|"C"|"dopa"|True|True|3|"CONSERVATION"|"Number of KBAs not protected"
203|"administrative_units"|"get_country_all_inds"|"kba_n_partially_prot"|"Number of KBAs partially under coverage of Protected Areas."|"C"|"dopa"|True|True|3|"CONSERVATION"|"Number of KBAs partially protected"
203|"administrative_units"|"get_country_all_inds"|"kba_n_tot"|"Number of KBAs."|"C"|"dopa"|True|True|3|"CONSERVATION"|"Total KBAs"
203|"administrative_units"|"get_region_all_inds"|"kba_avg_prot_perc"|"Average protection percentage."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
203|"administrative_units"|"get_region_all_inds"|"kba_n_fully_prot"|"Number of KBAs fully under coverage of Protected Areas."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
203|"administrative_units"|"get_region_all_inds"|"kba_n_not_protected"|"Number of KBAs not cvered by Protected Areas."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
203|"administrative_units"|"get_region_all_inds"|"kba_n_partially_prot"|"Number of KBAs partially under coverage of Protected Areas."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
203|"administrative_units"|"get_region_all_inds"|"kba_n_tot"|"Number of KBAs."|"C"|"dopa"|True|NULL|NULL|NULL|NULL
203|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"kba_avg_prot_perc"|"Average protection percentage."|"E"|"dopa"|True|True|3|"CONSERVATION"|"Average KBA protection (%)"
203|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"kba_n_fully_prot"|"Number of KBAs fully under coverage of Protected Areas."|"E"|"dopa"|True|True|3|"CONSERVATION"|"Number of KBAs fully protected"
203|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"kba_n_not_protected"|"Number of KBAs not cvered by Protected Areas."|"E"|"dopa"|True|True|3|"CONSERVATION"|"Number of KBAs not protected"
203|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"kba_n_partially_prot"|"Number of KBAs partially under coverage of Protected Areas."|"E"|"dopa"|True|True|3|"CONSERVATION"|"Number of KBAs partially protected"
203|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"kba_n_tot"|"Number of KBAs."|"E"|"dopa"|True|True|3|"CONSERVATION"|"Total KBAs"
204|"administrative_units"|"get_country_all_inds"|"mta_perc"|"Mean Aichi Target 11 Achievement for terrestrial ecoregions (%)"|"CL"|"dopa"|False|False|2|"MEAN TARGET ACHIEVEMENT"|"MTA (%)"
301|"administrative_units"|"get_country_all_inds"|"agb_max_c_mg_prot"|"Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
301|"administrative_units"|"get_country_all_inds"|"agb_max_c_mg_total"|"Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|True|3|"ABOVE GROUND CARBON"|"Max  (Mg)"
301|"administrative_units"|"get_country_all_inds"|"agb_max_c_mg_unprot"|"Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
301|"administrative_units"|"get_country_all_inds"|"agb_mean_c_mg_prot"|"Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
301|"administrative_units"|"get_country_all_inds"|"agb_mean_c_mg_total"|"Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|True|3|"ABOVE GROUND CARBON"|"Average  (Mg)"
301|"administrative_units"|"get_country_all_inds"|"agb_mean_c_mg_unprot"|"Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
301|"administrative_units"|"get_country_all_inds"|"agb_min_c_mg_prot"|"Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
301|"administrative_units"|"get_country_all_inds"|"agb_min_c_mg_total"|"Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|True|3|"ABOVE GROUND CARBON"|"Min  (Mg)"
301|"administrative_units"|"get_country_all_inds"|"agb_min_c_mg_unprot"|"Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
301|"administrative_units"|"get_country_all_inds"|"agb_stdev_c_mg_prot"|"Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|False|NULL|NULL|NULL
301|"administrative_units"|"get_country_all_inds"|"agb_stdev_c_mg_total"|"Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|True|NULL|"ABOVE GROUND CARBON"|"St.Dev  (Mg)"
301|"administrative_units"|"get_country_all_inds"|"agb_stdev_c_mg_unprot"|"Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|False|NULL|NULL|NULL
301|"administrative_units"|"get_country_all_inds"|"agb_tot_c_pg_prot"|"Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the protected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
301|"administrative_units"|"get_country_all_inds"|"agb_tot_c_pg_total"|"Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the whole country"|"CL"|"dopa"|True|True|3|"ABOVE GROUND CARBON"|"Total  (Pg)"
301|"administrative_units"|"get_country_all_inds"|"agb_tot_c_pg_unprot"|"Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the unprotected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_max_c_mg_prot"|"Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_max_c_mg_total"|"Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_max_c_mg_unprot"|"Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_mean_c_mg_prot"|"Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_mean_c_mg_total"|"Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_mean_c_mg_unprot"|"Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_min_c_mg_prot"|"Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_min_c_mg_total"|"Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_min_c_mg_unprot"|"Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_stdev_c_mg_prot"|"Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_stdev_c_mg_total"|"Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_stdev_c_mg_unprot"|"Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_tot_c_pg_prot"|"Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the protected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_tot_c_pg_total"|"Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the whole country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"administrative_units"|"get_region_all_inds"|"agb_tot_c_pg_unprot"|"Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the unprotected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_max_c_mg_prot"|"Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the ecoregion"|"ET"|"dopa"|True|False|3|NULL|NULL
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_max_c_mg_total"|"Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the whole ecoregion"|"ET"|"dopa"|True|True|3|"ABOVE GROUND CARBON "|"Max  (Mg)"
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_max_c_mg_unprot"|"Maximum amount for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the ecoregion"|"ET"|"dopa"|True|False|3|NULL|NULL
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_mean_c_mg_prot"|"Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the ecoregion"|"ET"|"dopa"|True|False|3|NULL|NULL
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_mean_c_mg_total"|"Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the whole ecoregion"|"ET"|"dopa"|True|True|3|"ABOVE GROUND CARBON"|"Average  (Mg)"
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_mean_c_mg_unprot"|"Mean amount for for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the ecoregion"|"ET"|"dopa"|True|False|3|NULL|NULL
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_min_c_mg_prot"|"Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the ecoregion"|"ET"|"dopa"|True|False|3|NULL|NULL
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_min_c_mg_total"|"Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the whole ecoregion"|"ET"|"dopa"|True|True|3|"ABOVE GROUND CARBON"|"Min  (Mg)"
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_min_c_mg_unprot"|"Minimum amount for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the ecoregion"|"ET"|"dopa"|True|False|3|NULL|NULL
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_stdev_c_mg_prot"|"Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the protected portion of the ecoregion"|"ET"|"dopa"|True|False|NULL|NULL|NULL
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_stdev_c_mg_total"|"Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the whole ecoregion"|"ET"|"dopa"|True|True|NULL|"ABOVE GROUND CARBON"|"St.Dev  (Mg)"
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_stdev_c_mg_unprot"|"Standard deviation for above ground carbon in Mg (Megagrams = Tons) in the unprotected portion of the ecoregion"|"ET"|"dopa"|True|False|NULL|NULL|NULL
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_tot_c_pg_prot"|"Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the protected portion of the ecoregion"|"ET"|"dopa"|True|False|3|NULL|NULL
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_tot_c_pg_total"|"Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the whole ecoregion"|"ET"|"dopa"|True|True|3|"ABOVE GROUND CARBON"|"Total  (Pg)"
301|"habitats_and_biotopes"|"get_ecoregion_all_inds"|"agb_tot_c_pg_unprot"|"Total amount of above ground carbon in Pg (Petagrams =Tons/10^9) in the unprotected portion of the ecoregion"|"ET"|"dopa"|True|False|3|NULL|NULL
301|"protected_sites"|"get_wdpa_all_inds"|"agb_max_c_mg"|"Maximum amount for above ground carbon in Mg (Megagrams = Tons)"|"PTC"|"dopa"|True|True|3|"ABOVE GROUND CARBON"|"Max  (Mg)"
301|"protected_sites"|"get_wdpa_all_inds"|"agb_mean_c_mg"|"Mean amount for for above ground carbon in Mg (Megagrams = Tons)"|"PTC"|"dopa"|True|True|3|"ABOVE GROUND CARBON"|"Average  (Mg)"
301|"protected_sites"|"get_wdpa_all_inds"|"agb_min_c_mg"|"Minimum amount for above ground carbon in Mg (Megagrams = Tons)"|"PTC"|"dopa"|True|True|3|"ABOVE GROUND CARBON"|"Min  (Mg)"
301|"protected_sites"|"get_wdpa_all_inds"|"agb_stdev_c_mg"|"Standard deviation for above ground carbon in Mg (Megagrams = Tons)"|"PTC"|"dopa"|True|True|NULL|"ABOVE GROUND CARBON"|"St.Dev  (Mg)"
301|"protected_sites"|"get_wdpa_all_inds"|"agb_tot_c_mg"|"Total amount of above ground carbon in Mg (Megagrams = Tons)"|"PTC"|"dopa"|True|True|3|"ABOVE GROUND CARBON"|"Total  (Pg)"
302|"administrative_units"|"get_country_all_inds"|"bgb_max_c_mg_prot"|"Maximum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
302|"administrative_units"|"get_country_all_inds"|"bgb_max_c_mg_total"|"Maximum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|True|3|"BELOWGROUND BIOMASS CARBON"|"Max  (Mg)"
302|"administrative_units"|"get_country_all_inds"|"bgb_max_c_mg_unprot"|"Maximum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
302|"administrative_units"|"get_country_all_inds"|"bgb_mean_c_mg_prot"|"Mean amount for for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
302|"administrative_units"|"get_country_all_inds"|"bgb_mean_c_mg_total"|"Mean amount for for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|True|3|"BELOWGROUND BIOMASS CARBON"|"Average  (Mg)"
302|"administrative_units"|"get_country_all_inds"|"bgb_mean_c_mg_unprot"|"Mean amount for for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
302|"administrative_units"|"get_country_all_inds"|"bgb_min_c_mg_prot"|"Minimum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
302|"administrative_units"|"get_country_all_inds"|"bgb_min_c_mg_total"|"Minimum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|True|3|"BELOWGROUND BIOMASS CARBON"|"Min  (Mg)"
302|"administrative_units"|"get_country_all_inds"|"bgb_min_c_mg_unprot"|"Minimum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
302|"administrative_units"|"get_country_all_inds"|"bgb_stdev_c_mg_prot"|"Standard deviation for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|False|NULL|NULL|NULL
302|"administrative_units"|"get_country_all_inds"|"bgb_stdev_c_mg_total"|"Standard deviation for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|True|NULL|"BELOWGROUND BIOMASS CARBON"|"St.Dev  (Mg)"
302|"administrative_units"|"get_country_all_inds"|"bgb_stdev_c_mg_unprot"|"Standard deviation for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|False|NULL|NULL|NULL
302|"administrative_units"|"get_country_all_inds"|"bgb_tot_c_pg_prot"|"Total amount of below ground (tree roots) carbon in Pg (Petagrams =Tons/10^9) in the protected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
302|"administrative_units"|"get_country_all_inds"|"bgb_tot_c_pg_total"|"Total amount of below ground (tree roots) carbon in Pg (Petagrams =Tons/10^9) in the whole country"|"CL"|"dopa"|True|True|3|"BELOWGROUND BIOMASS CARBON"|"Total  (Pg)"
302|"administrative_units"|"get_country_all_inds"|"bgb_tot_c_pg_unprot"|"Total amount of below ground (tree roots) carbon in Pg (Petagrams =Tons/10^9) in the unprotected portion of the country"|"CL"|"dopa"|True|False|3|NULL|NULL
302|"administrative_units"|"get_region_all_inds"|"bgb_max_c_mg_prot"|"Maximum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the protected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
302|"administrative_units"|"get_region_all_inds"|"bgb_max_c_mg_total"|"Maximum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the whole country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
302|"administrative_units"|"get_region_all_inds"|"bgb_max_c_mg_unprot"|"Maximum amount for below ground (tree roots) carbon in Mg (Megagrams = Tons) in the unprotected portion of the country"|"CL"|"dopa"|True|NULL|NULL|NULL|NULL
