db_name|schema_name|function_name|parameter_name|parameter_description|reporting_level|source|rest|xls_template|xls_column_name_lv_1|xls_column_name_lv_2|progress_code
d6dopa40|administrative_units|get_country_all_inds|carbon_mean_c_mg_total|Mean amount of carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|TOTAL CARBON|Average  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|carbon_mean_c_mg_unprot|Mean amount of carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|carbon_min_c_mg_prot|Minimum amount of carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|carbon_min_c_mg_total|Minimum amount of carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|TOTAL CARBON|Min  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|carbon_min_c_mg_unprot|Minimum amount of carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|carbon_stdev_c_mg_prot|Standard deviation of the amount of carbon in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|NULL
d6dopa40|administrative_units|get_country_all_inds|carbon_stdev_c_mg_total|Standard deviation of the amount of carbon in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|TOTAL CARBON|St.Dev  (Mg)|NULL
d6dopa40|administrative_units|get_country_all_inds|carbon_stdev_c_mg_unprot|Standard deviation of the amount of carbon in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|NULL
d6dopa40|administrative_units|get_country_all_inds|carbon_tot_c_pg_prot|Total amount of carbon in Pg (Petagrams =Tons/10^9) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|carbon_tot_c_pg_total|Total amount of carbon in Pg (Petagrams =Tons/10^9) in the whole country|NULL|dopa|t|ok|TOTAL CARBON|Total  (Pg)|3
d6dopa40|administrative_units|get_country_all_inds|carbon_tot_c_pg_unprot|Total amount of carbon in Pg (Petagrams =Tons/10^9) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|country_id|country_id|NULL|dopa|t|ok|COUNTRY INFORMATION|country_id|3
d6dopa40|administrative_units|get_country_all_inds|country_iso2|country_iso2|NULL|dopa|t|ok|COUNTRY INFORMATION|ISO2|3
d6dopa40|administrative_units|get_country_all_inds|country_iso3|country_iso3|NULL|dopa|t|ok|COUNTRY INFORMATION|ISO3|3
d6dopa40|administrative_units|get_country_all_inds|country_name|country_name|NULL|dopa|t|ok|COUNTRY INFORMATION|country_name|3
d6dopa40|administrative_units|get_country_all_inds|country_un_m49|country_un_m49|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|gebco_max_m|Maximum elevation in meters.|NULL|dopa|t|ok|ELEVATION PROFILE|Max (m)|1
d6dopa40|administrative_units|get_country_all_inds|gebco_mean_m|Mean elevation in meters.|NULL|dopa|t|ok|ELEVATION PROFILE|Mean (m)|1
d6dopa40|administrative_units|get_country_all_inds|gebco_min_m|Minimum elevation in meters.|NULL|dopa|t|ok|ELEVATION PROFILE|Min (m)|1
d6dopa40|administrative_units|get_country_all_inds|gebco_stdev_m|Standard Deviation of the elevation in meters.|NULL|dopa|t|ok|ELEVATION PROFILE|St.Dev (m)|NULL
d6dopa40|administrative_units|get_country_all_inds|gfc_gain_km2|Forest gain between first and last epochs expressed in km2.|NULL|dopa|t|ok|CHANGE IN FOREST COVER|Forest Gain (km2)|1
d6dopa40|administrative_units|get_country_all_inds|gfc_gain_perc|Forest gain between first and last epochs expressed in percent.|NULL|dopa|t|ok|CHANGE IN FOREST COVER|Forest Gain (%)|1
d6dopa40|administrative_units|get_country_all_inds|gfc_gain_prot_km2|Forest gain inside protected areas between first and last epochs expressed in km2.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|gfc_gain_prot_perc|Forest gain inside protected areas between first and last epochs expressed in percent.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|gfc_loss_km2|Forest loss between first and last epochs expressed in km2.|NULL|dopa|t|ok|CHANGE IN FOREST COVER|Forest Loss (km2)|1
d6dopa40|administrative_units|get_country_all_inds|gfc_loss_perc|Forest loss between first and last epochs expressed in percent.|NULL|dopa|t|ok|CHANGE IN FOREST COVER|Forest Loss (%)|1
d6dopa40|administrative_units|get_country_all_inds|gfc_loss_prot_km2|Forest loss inside protected areas between first and last epochs expressed in km2.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|gfc_loss_prot_perc|Forest loss inside protected areas between first and last epochs expressed in percent.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|gfc_treecover_km2|Forest cover in first epoch expressed in km2.|NULL|dopa|t|ok|CHANGE IN FOREST COVER|Treecover (km2)|1
d6dopa40|administrative_units|get_country_all_inds|gfc_treecover_perc|Forest cover in first epoch expressed in percent.|NULL|dopa|t|ok|CHANGE IN FOREST COVER|Treecover (%)|1
d6dopa40|administrative_units|get_country_all_inds|gfc_treecover_prot_km2|Forest cover inside protected areas in first epoch expressed in km2.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|gfc_treecover_prot_perc|Forest cover inside protected areas in first epoch expressed in percent.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|gsoc_max_c_mg_prot|Maximum amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|gsoc_max_c_mg_total|Maximum amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|SOIL ORGANIC CARBON|Max  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|gsoc_max_c_mg_unprot|Maximum amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|gsoc_mean_c_mg_prot|Mean amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|gsoc_mean_c_mg_total|Mean amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|SOIL ORGANIC CARBON|Average  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|gsoc_mean_c_mg_unprot|Mean amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|gsoc_min_c_mg_prot|Minimum amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|gsoc_min_c_mg_total|Minimum amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|SOIL ORGANIC CARBON|Min  (Mg)|3
d6dopa40|administrative_units|get_country_all_inds|gsoc_min_c_mg_unprot|Minimum amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|gsoc_stdev_c_mg_prot|Standard deviation of the amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|NULL
d6dopa40|administrative_units|get_country_all_inds|gsoc_stdev_c_mg_total|Standard deviation of the amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the whole country|NULL|dopa|t|ok|SOIL ORGANIC CARBON|St.Dev  (Mg)|NULL
d6dopa40|administrative_units|get_country_all_inds|gsoc_stdev_c_mg_unprot|Standard deviation of the amount of soil organic carbon (0-30 cm depth) in Mg (Megagrams = Tons) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|NULL
d6dopa40|administrative_units|get_country_all_inds|gsoc_tot_c_pg_prot|Total amount of soil organic carbon (0-30 cm depth) in Pg (Petagrams =Tons/10^9) in the protected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|gsoc_tot_c_pg_total|Total amount of soil organic carbon (0-30 cm depth) in Pg (Petagrams =Tons/10^9) in the whole country|NULL|dopa|t|ok|SOIL ORGANIC CARBON|Total  (Pg)|3
d6dopa40|administrative_units|get_country_all_inds|gsoc_tot_c_pg_unprot|Total amount of soil organic carbon (0-30 cm depth) in Pg (Petagrams =Tons/10^9) in the unprotected portion of the country|NULL|dopa|t|no|NULL|NULL|3
d6dopa40|administrative_units|get_country_all_inds|kba_avg_prot_perc|Average protection percentage.|NULL|dopa|t|ok|CONSERVATION|Average KBA protection (%)|3
d6dopa40|administrative_units|get_country_all_inds|kba_n_fully_prot|Number of KBAs fully under coverage of Protected Areas.|NULL|dopa|t|ok|CONSERVATION|Number of KBAs fully protected|3
d6dopa40|administrative_units|get_country_all_inds|kba_n_not_protected|Number of KBAs not cvered by Protected Areas.|NULL|dopa|t|ok|CONSERVATION|Number of KBAs not protected|3
d6dopa40|administrative_units|get_country_all_inds|kba_n_partially_prot|Number of KBAs partially under coverage of Protected Areas.|NULL|dopa|t|ok|CONSERVATION|Number of KBAs partially protected|3
d6dopa40|administrative_units|get_country_all_inds|kba_n_tot|Number of KBAs.|NULL|dopa|t|ok|CONSERVATION|Total KBAs|3
d6dopa40|administrative_units|get_country_all_inds|land_natural_km2|Natural landscape area coverage in km2.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|land_natural_perc|Natural landscape area coverage percentage.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|land_natural_prot_km2|Protected natural landscape coverage in km2.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|land_natural_prot_perc|Protected natural landscape coverage percentage.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|lpd_increased_km2|Changes between first and last epochs in the health and productive capacity of the land.|NULL|dopa|t|ok|Land Degradation|Increased Productivity (km2)|1
d6dopa40|administrative_units|get_country_all_inds|lpd_moderate_km2|Changes between first and last epochs in the health and productive capacity of the land.|NULL|dopa|t|ok|Land Degradation|Persistent moderate decline in productivity (km2)|1
d6dopa40|administrative_units|get_country_all_inds|lpd_null_km2|Changes between first and last epochs in the health and productive capacity of the land.|NULL|dopa|t|ok|Land Degradation|No biomass (km2)|1
d6dopa40|administrative_units|get_country_all_inds|lpd_prot_increased_km2|Changes between first and last epochs in the health and productive capacity of protected land.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|lpd_prot_moderate_km2|Changes between first and last epochs in the health and productive capacity of protected land.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|lpd_prot_null_km2|Changes between first and last epochs in the health and productive capacity of protected land.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|lpd_prot_severe_km2|Changes between first and last epochs in the health and productive capacity of protected land.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|lpd_prot_stable_km2|Changes between first and last epochs in the health and productive capacity of protected land.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|lpd_prot_stressed_km2|Changes between first and last epochs in the health and productive capacity of protected land.|NULL|dopa|t|no|NULL|NULL|1
d6dopa40|administrative_units|get_country_all_inds|lpd_severe_km2|Changes between first and last epochs in the health and productive capacity of the land.|NULL|dopa|t|ok|Land Degradation|Persistent severe decline in productivity (km2)|1
d6dopa40|administrative_units|get_country_all_inds|lpd_stable_km2|Changes between first and last epochs in the health and productive capacity of the land.|NULL|dopa|t|ok|Land Degradation|Stable Productivity (km2)|1
d6dopa40|administrative_units|get_country_all_inds|lpd_stressed_km2|Changes between first and last epochs in the health and productive capacity of the land.|NULL|dopa|t|ok|Land Degradation|Stressed productivity (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_core_1995_km2|Landscape pattern and fragmentation classes computed for the year 1995.|NULL|dopa|t|ok|Land Fragmentation 1995|Core (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_core_2000_km2|Landscape pattern and fragmentation classes computed for the years 2000.|NULL|dopa|t|ok|Land Fragmentation 2000|Core (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_core_2005_km2|Landscape pattern and fragmentation classes computed for the years 2005.|NULL|dopa|t|ok|Land Fragmentation 2005|Core (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_core_2010_km2|Landscape pattern and fragmentation classes computed for the years 2010.|NULL|dopa|t|ok|Land Fragmentation 2010|Core (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_core_2015_km2|Landscape pattern and fragmentation classes computed for the years 2015.|NULL|dopa|t|ok|Land Fragmentation 2015|Core (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_edges_1995_km2|Landscape pattern and fragmentation classes computed for the year 1995.|NULL|dopa|t|ok|Land Fragmentation 1995|Edge (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_edges_2000_km2|Landscape pattern and fragmentation classes computed for the years 2000.|NULL|dopa|t|ok|Land Fragmentation 2000|Edge (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_edges_2005_km2|Landscape pattern and fragmentation classes computed for the years 2005.|NULL|dopa|t|ok|Land Fragmentation 2005|Edge (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_edges_2010_km2|Landscape pattern and fragmentation classes computed for the years 2010.|NULL|dopa|t|ok|Land Fragmentation 2010|Edge (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_edges_2015_km2|Landscape pattern and fragmentation classes computed for the years 2015.|NULL|dopa|t|ok|Land Fragmentation 2015|Edge (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_islets_1995_km2|Landscape pattern and fragmentation classes computed for the year 1995.|NULL|dopa|t|ok|Land Fragmentation 1995|Islet (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_islets_2000_km2|Landscape pattern and fragmentation classes computed for the years 2000.|NULL|dopa|t|ok|Land Fragmentation 2000|Islet (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_islets_2005_km2|Landscape pattern and fragmentation classes computed for the years 2005.|NULL|dopa|t|ok|Land Fragmentation 2005|Islet (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_islets_2010_km2|Landscape pattern and fragmentation classes computed for the years 2010.|NULL|dopa|t|ok|Land Fragmentation 2010|Islet (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_islets_2015_km2|Landscape pattern and fragmentation classes computed for the years 2015.|NULL|dopa|t|ok|Land Fragmentation 2015|Islet (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_margins_1995_km2|Landscape pattern and fragmentation classes computed for the year 1995.|NULL|dopa|t|ok|Land Fragmentation 1995|Margins (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_margins_2000_km2|Landscape pattern and fragmentation classes computed for the years 2000.|NULL|dopa|t|ok|Land Fragmentation 2000|Margins (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_margins_2005_km2|Landscape pattern and fragmentation classes computed for the years 2005.|NULL|dopa|t|ok|Land Fragmentation 2005|Margins (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_margins_2010_km2|Landscape pattern and fragmentation classes computed for the years 2010.|NULL|dopa|t|ok|Land Fragmentation 2010|Margins (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_margins_2015_km2|Landscape pattern and fragmentation classes computed for the years 2015.|NULL|dopa|t|ok|Land Fragmentation 2015|Margins (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_non_natural_1995_km2|Landscape pattern and fragmentation classes computed for the year 1995|NULL|dopa|t|ok|Land Fragmentation 1995|Non Natural (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_non_natural_2000_km2|Landscape pattern and fragmentation classes computed for the year  2000|NULL|dopa|t|ok|Land Fragmentation 2000|Non Natural (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_non_natural_2005_km2|Landscape pattern and fragmentation classes computed for the year  2005|NULL|dopa|t|ok|Land Fragmentation 2005|Non Natural (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_non_natural_2010_km2|Landscape pattern and fragmentation classes computed for the year  2010|NULL|dopa|t|ok|Land Fragmentation 2010|Non Natural (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_non_natural_2015_km2|Landscape pattern and fragmentation classes computed for the year  2015|NULL|dopa|t|ok|Land Fragmentation 2015|Non Natural (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_perforation_1995_km2|Landscape pattern and fragmentation classes computed for the year 1995.|NULL|dopa|t|ok|Land Fragmentation 1995|Perforation (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_perforation_2000_km2|Landscape pattern and fragmentation classes computed for the years 2000.|NULL|dopa|t|ok|Land Fragmentation 2000|Perforation (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_perforation_2005_km2|Landscape pattern and fragmentation classes computed for the years 2005.|NULL|dopa|t|ok|Land Fragmentation 2005|Perforation (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_perforation_2010_km2|Landscape pattern and fragmentation classes computed for the years 2010.|NULL|dopa|t|ok|Land Fragmentation 2010|Perforation (km2)|1
d6dopa40|administrative_units|get_country_all_inds|mspa_perforation_2015_km2|Landscape pattern and fragmentation classes computed for the years 2015.|NULL|dopa|t|ok|Land Fragmentation 2015|Perforation (km2)|1
d6dopa40|administrative_units|get_country_all_inds|protconn|Percentage of an area covered by protected connected lands.|NULL|dopa|t|ok|CONSERVATION|Protconn|3
d6dopa40|administrative_units|get_country_all_inds|status|status|NULL|dopa|t|ok|COUNTRY INFORMATION|status|3
d6dopa40|administrative_units|get_country_all_inds|water_p_1985_km2|Area of permanent surface inland water in first epoch expressed in km2.|NULL|dopa|t|no|NULL|NULL|3
